buffers.Input.event_count,buffers.Input.filled_slots,buffers.Input.empty_slots,buffers.Input.flush_event_received,buffers.Input.rate,buffers.Input.average_deadtime,buffers.Input.paused_count,buffers.Input.paused,buffers.to_spectrum.event_count,buffers.to_spectrum.filled_slots,buffers.to_spectrum.empty_slots,buffers.to_spectrum.flush_event_received,buffers.to_spectrum.rate,buffers.to_spectrum.average_deadtime,buffers.to_spectrum.paused_count,buffers.to_spectrum.paused,buffers.PulseHeights.event_count,buffers.PulseHeights.filled_slots,buffers.PulseHeights.empty_slots,buffers.PulseHeights.flush_event_received,buffers.PulseHeights.rate,buffers.PulseHeights.average_deadtime,buffers.PulseHeights.paused_count,buffers.PulseHeights.paused,workers.RedPitaya.processes,workers.RedPitaya.cpu_percent,workers.Copy.processes,workers.Copy.cpu_percent,workers.PHA.processes,workers.PHA.cpu_percent,workers.PHA_to_Histogram.processes,workers.PHA_to_Histogram.cpu_percent,workers.Show_Histogram.processes,workers.Show_Histogram.cpu_percent,workers.Oscilloscope.processes,workers.Oscilloscope.cpu_percent,time_active,total_processes_alive,control.cpu_percent
68,0.0,1.0,False,64.87096823351601,0.042398396046558574,0,False,68,0.0,0.9921875,False,64.97705104322034,0.042398396046558574,0,False,57,0.0,1.0,False,54.56718756205347,0.04527448939079452,0,False,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.4209024906158447,6,3.7
312,0.0,0.9921875,False,243.16614088907062,0.055079226698459764,0,False,311,0.0,1.0,False,242.1817575249942,0.055255645197994425,0,False,271,0.0,1.0,False,213.28123230489976,0.05561417384187384,0,False,1,9.0,1,9.0,1,15.0,1,7.0,1,7.0,1,7.0,1.4242143630981445,6,5.3
524,0.0,0.9921875,False,211.2387093708872,0.05003263516701826,0,False,523,0.0,1.0,False,211.2367522762426,0.050070499387751516,0,False,453,0.0,1.0,False,181.3442851475364,0.05365389003566933,0,False,1,7.0,1,9.0,1,13.0,1,5.0,1,7.0,1,7.0,2.428114414215088,6,5.4
758,0.0,0.9921875,False,233.18247501965428,0.06617208603437705,0,False,757,0.0,1.0,False,233.18225341665612,0.06606886089634421,0,False,662,0.0,1.0,False,208.2690752060335,0.06698834808761978,0,False,1,10.0,1,9.0,1,14.0,1,8.0,1,7.0,1,8.0,3.4315829277038574,6,5.0
990,0.0,0.9921875,False,231.0903062708763,0.09018895843215977,0,False,989,0.0,1.0,False,231.0926112616377,0.09028060317687783,0,False,867,0.0,1.0,False,204.19937640548036,0.08669348654482205,0,False,1,9.0,1,9.0,1,13.9,1,8.0,1,6.0,1,3.0,4.435361623764038,6,4.4
1204,0.0,0.9921875,False,213.27864768598712,0.05747682103103059,0,False,1203,0.0078125,0.9921875,False,213.27798887157738,0.05747682103103063,0,False,1053,0.0,1.0,False,185.37250166448774,0.055598953228290206,0,False,1,8.0,1,10.0,1,14.9,1,6.0,1,1.0,1,4.0,5.438873767852783,6,4.8
1441,0.0,0.9921875,False,236.28724617039018,0.08439745738215464,0,False,1440,0.0,1.0,False,236.28741466805073,0.08440687399330851,0,False,1265,0.0,1.0,False,211.36313455236606,0.08727252825232908,0,False,1,9.0,1,10.0,1,15.0,1,7.0,1,6.0,1,7.0,6.441647291183472,6,4.2
1643,0.0,0.9921875,False,201.39571260377917,0.07761613704085168,0,False,1642,0.0,1.0,False,201.39614346023657,0.07760205469897524,0,False,1445,0.0,1.0,False,179.46144076468823,0.08193990098707574,0,False,1,10.0,1,8.0,1,15.0,1,7.0,1,8.0,1,7.0,7.444794416427612,6,4.5
1857,0.0,0.9921875,False,213.07066470619793,0.06805482344408192,0,False,1856,0.0,1.0,False,213.0678322976442,0.06807187469656988,0,False,1634,0.0,1.0,False,188.1755243276194,0.06516680128902513,0,False,1,9.0,1,9.0,1,14.9,1,6.0,1,6.0,1,6.0,8.449365139007568,6,4.1
4038,0.0078125,0.984375,False,209.9754302132738,0.07470325993346123,0,False,4036,0.0,1.0,False,208.9800876630633,0.07497583378580693,0,False,3562,0.0,1.0,False,187.08689123381438,0.07495062581978844,0,False,1,9.0,1,9.0,1,14.9,1,7.0,1,10.9,1,6.0,18.48964285850525,6,5.3
6328,0.0,0.9921875,False,240.2190297390172,0.07867766805920545,0,False,6327,0.0,1.0,False,240.2192010003952,0.07844382979185487,0,False,5579,0.0,1.0,False,208.3234696435892,0.08128790019151673,0,False,1,10.0,1,10.0,1,16.9,1,7.0,1,9.0,1,7.0,28.526050567626953,6,5.3
8534,0.0,0.9921875,False,242.9270053621912,0.07901072110515639,0,False,8533,0.0,1.0,False,242.92527546607292,0.07905305319951828,0,False,7527,0.0,1.0,False,216.04302042093263,0.07671080903270265,0,False,1,8.0,1,9.0,1,15.9,1,8.0,1,7.0,1,6.0,38.56732630729675,6,4.4
10769,0.0,0.9921875,False,233.92960145209582,0.05876667747634685,0,False,10768,0.0,1.0,False,233.9267700111094,0.05874420745283453,0,False,9510,0.0,1.0,False,208.04916419305405,0.060293517843856274,0,False,1,10.0,1,10.0,1,15.9,1,7.0,1,6.0,1,6.0,48.609832763671875,6,4.0
12923,0.0,0.9921875,False,199.26068905756145,0.0648967816156619,0,False,12922,0.0,1.0,False,199.25827516314456,0.06498578560942918,0,False,11424,0.0,1.0,False,178.33569030159185,0.06489169090561477,0,False,1,9.0,1,8.0,1,13.9,1,7.0,1,7.0,1,6.0,58.65194296836853,6,3.9
26075,0.0,0.9921875,False,219.40351051559227,0.06400473648847496,0,False,26074,0.0,1.0,False,219.40366701983783,0.06404502907776904,0,False,23099,0.0,1.0,False,197.463394220513,0.0636993177353099,0,False,1,8.0,1,10.0,1,15.0,1,5.0,1,11.0,1,6.0,118.90597772598267,6,5.2
38156,0.0,0.9921875,False,1.9832659289300834,0.11733850794075806,0,False,38155,0.0,1.0,False,1.9832476423452734,0.11733850794075806,0,False,33733,0.0,1.0,False,2.9748630236574547,0.08933069812580167,0,False,0,0,0,0,0,0,0,0,0,0,0,0,174.12991094589233,0,1.4
