buffers.Input.event_count,buffers.Input.filled_slots,buffers.Input.empty_slots,buffers.Input.flush_event_received,buffers.Input.rate,buffers.Input.average_deadtime,buffers.Input.paused_count,buffers.Input.paused,buffers.to_spectrum.event_count,buffers.to_spectrum.filled_slots,buffers.to_spectrum.empty_slots,buffers.to_spectrum.flush_event_received,buffers.to_spectrum.rate,buffers.to_spectrum.average_deadtime,buffers.to_spectrum.paused_count,buffers.to_spectrum.paused,buffers.PulseHeights.event_count,buffers.PulseHeights.filled_slots,buffers.PulseHeights.empty_slots,buffers.PulseHeights.flush_event_received,buffers.PulseHeights.rate,buffers.PulseHeights.average_deadtime,buffers.PulseHeights.paused_count,buffers.PulseHeights.paused,workers.RedPitaya.processes,workers.RedPitaya.cpu_percent,workers.Copy.processes,workers.Copy.cpu_percent,workers.PHA.processes,workers.PHA.cpu_percent,workers.PHA_to_Histogram.processes,workers.PHA_to_Histogram.cpu_percent,workers.Show_Histogram.processes,workers.Show_Histogram.cpu_percent,workers.Oscilloscope.processes,workers.Oscilloscope.cpu_percent,time_active,total_processes_alive,control.cpu_percent
791,0.0,1.0,False,780.8283718629249,0.12906406360590836,0,False,791,0.0,0.9921875,False,782.1699893484947,0.12906406360590836,0,False,782,0.0,1.0,False,774.7695265820028,0.12892924083224994,0,False,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.4201545715332031,6,4.2
3243,0.0,0.9921875,False,2445.433257394306,0.15989878868875515,0,False,3242,0.015625,0.984375,False,2444.7364725746424,0.15981412751934335,0,False,3221,0.0078125,0.984375,False,2432.819786352257,0.1598741478516739,0,False,1,33.9,1,37.9,1,91.8,1,30.9,1,8.0,1,7.0,1.4224567413330078,6,13.5
5623,0.0,0.9921875,False,2373.719211623526,0.15958831364437384,0,False,5622,0.015625,0.984375,False,2373.7152605133056,0.15972566680471878,0,False,5588,0.0078125,0.9921875,False,2360.7501502826835,0.15918767215979787,0,False,1,33.9,1,38.9,1,85.8,1,32.9,1,7.0,1,7.0,2.425053596496582,6,13.2
7995,0.0,0.9921875,False,2367.139081737755,0.1475963107587703,0,False,7994,0.0078125,0.984375,False,2367.1357024623103,0.14759842992669983,0,False,7945,0.0,1.0,False,2352.169261451211,0.14745319584646624,0,False,1,35.9,1,35.9,1,87.8,1,34.9,1,7.0,1,8.0,3.4273016452789307,6,13.5
10492,0.0,0.9921875,False,2490.6378731315776,0.16258517321014646,0,False,10491,0.0078125,0.984375,False,2490.617735048223,0.16258948698999334,0,False,10429,0.015625,0.984375,False,2477.639178591948,0.16244851209867509,0,False,1,34.9,1,38.9,1,91.8,1,33.9,1,5.0,1,5.0,4.429841995239258,6,14.3
12919,0.0,0.9921875,False,2421.3269776798106,0.16808196901764613,0,False,12918,0.0078125,0.9921875,False,2421.353471207171,0.16808196901764613,0,False,12843,0.0,1.0,False,2408.394600845943,0.16788368203161325,0,False,1,35.9,1,41.9,1,86.8,1,27.9,1,2.0,1,2.0,5.432087182998657,6,12.9
15332,0.0,0.9921875,False,2407.617980436189,0.14873465346552073,0,False,15331,0.015625,0.9765625,False,2407.6082438862745,0.1487294674752055,0,False,15239,0.0,1.0,False,2390.6399740419647,0.14890239671295685,0,False,1,33.9,1,35.9,1,77.8,1,30.9,1,11.0,1,7.0,6.434521198272705,6,13.4
17816,0.0,0.9921875,False,2477.729919109005,0.15128889096997672,0,False,17815,0.0078125,0.984375,False,2477.7305083548617,0.15128143989955536,0,False,17708,0.0078125,0.9921875,False,2462.769538979979,0.151195941793789,0,False,1,31.9,1,40.9,1,90.8,1,29.9,1,11.0,1,7.0,7.4370362758636475,6,13.5
20237,0.0,0.984375,False,2414.779256375994,0.15856840252985863,0,False,20235,0.0,0.9921875,False,2413.7749377485216,0.15859189853316263,0,False,20115,0.0,0.9921875,False,2400.8038107748894,0.15862481701914902,0,False,1,32.9,1,41.9,1,86.8,1,31.9,1,11.0,1,5.0,8.439712047576904,6,13.8
44481,0.0,0.9921875,False,2325.165333477295,0.14878426635278305,0,False,44480,0.03125,0.9609375,False,2325.177498991036,0.1488224237308363,0,False,44192,0.0,1.0,False,2303.2368339128698,0.14868624446063644,0,False,1,32.9,1,33.9,1,78.8,1,29.9,1,10.0,1,7.0,18.462524890899658,6,12.8
