buffers.Input.event_count,buffers.Input.filled_slots,buffers.Input.empty_slots,buffers.Input.flush_event_received,buffers.Input.rate,buffers.Input.average_deadtime,buffers.Input.paused_count,buffers.Input.paused,buffers.to_coincidence.event_count,buffers.to_coincidence.filled_slots,buffers.to_coincidence.empty_slots,buffers.to_coincidence.flush_event_received,buffers.to_coincidence.rate,buffers.to_coincidence.average_deadtime,buffers.to_coincidence.paused_count,buffers.to_coincidence.paused,buffers.Coincidences.event_count,buffers.Coincidences.filled_slots,buffers.Coincidences.empty_slots,buffers.Coincidences.flush_event_received,buffers.Coincidences.rate,buffers.Coincidences.average_deadtime,buffers.Coincidences.paused_count,buffers.Coincidences.paused,workers.RedPitaya.processes,workers.RedPitaya.cpu_percent,workers.Copy.processes,workers.Copy.cpu_percent,workers.Coincidence.processes,workers.Coincidence.cpu_percent,workers.Save_Coincidence.processes,workers.Save_Coincidence.cpu_percent,workers.Visualize_Coincidence.processes,workers.Visualize_Coincidence.cpu_percent,workers.Oscilloscope.processes,workers.Oscilloscope.cpu_percent,time_active,total_processes_alive,control.cpu_percent
396,0.0,1.0,False,388.7333267957167,0.0867437674007847,0,False,396,0.0,0.9921875,False,389.3269701284095,0.0867437674007847,0,False,45,0.0,1.0,False,44.32905638539457,0.07895408142008203,0,False,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.42032384872436523,6,3.3
1545,0.0,0.9921875,False,1145.1642236285786,0.10976302607777001,0,False,1544,0.0,1.0,False,1144.3315292020677,0.10977824953134177,0,False,172,0.0,1.0,False,126.59892118817604,0.12260157365200208,0,False,1,18.9,1,19.9,1,40.9,1,14.0,1,0.0,1,7.0,1.4230332374572754,6,7.4
2644,0.0,0.9921875,False,1096.1737806168578,0.09330181792368344,0,False,2643,0.0,0.9921875,False,1096.1743019693154,0.09337333549900999,0,False,306,0.0,1.0,False,133.6556560946087,0.07494536469930586,0,False,1,16.0,1,19.0,1,38.9,1,13.0,1,1.0,1,7.0,2.4255709648132324,6,7.0
3739,0.0,0.9921875,False,1091.4617240282032,0.09474399530251465,0,False,3738,0.0,1.0,False,1091.4609458770922,0.0947077136232377,0,False,433,0.0,1.0,False,126.58947419452811,0.08690055072994315,0,False,1,16.9,1,18.9,1,39.9,1,13.0,1,0.0,1,7.0,3.4288930892944336,6,7.0
4886,0.0,0.9921875,False,1143.8509562036315,0.09791892310282102,0,False,4885,0.0,1.0,False,1143.8523160382001,0.09791892310282102,0,False,572,0.0,1.0,False,138.61861162705986,0.10598617270314159,0,False,1,17.0,1,18.9,1,41.9,1,14.0,1,0.0,1,6.0,4.431577205657959,6,7.7
5965,0.0,0.9921875,False,1075.998760818763,0.09820469556685232,0,False,5964,0.0,1.0,False,1075.998760818763,0.09823838113668006,0,False,696,0.0,1.0,False,123.65509392171143,0.08976770831634766,0,False,1,16.0,1,17.9,1,35.9,1,16.0,1,12.0,1,2.0,5.434407472610474,6,7.2
7029,0.0,0.9921875,False,1061.6657196839035,0.09448428803144884,0,False,7028,0.0,1.0,False,1061.665972249481,0.09448428803144884,0,False,815,0.0,1.0,False,118.73895742263933,0.08417677129723365,0,False,1,17.0,1,20.0,1,35.9,1,12.0,1,0.0,1,1.0,6.436539888381958,6,6.4
8134,0.0,0.9921875,False,1101.4267934849383,0.0937176463270696,0,False,8133,0.0,1.0,False,1101.41763226049,0.0937176463270696,0,False,979,0.0,1.0,False,163.46742478378525,0.09627594957396156,0,False,1,15.9,1,18.9,1,40.9,1,17.9,1,1.0,1,3.0,7.439962387084961,6,6.8
9277,0.0,0.9921875,False,1138.8100042377955,0.09978511802038056,0,False,9276,0.0,1.0,False,1138.8181198401978,0.09976554317402288,0,False,1110,0.0,1.0,False,130.5213629998444,0.11556755388124396,0,False,1,17.9,1,18.9,1,41.8,1,13.0,1,0.0,1,6.0,8.443487882614136,6,7.6
20282,0.0,0.9921875,False,1058.3490202886694,0.10187546770834152,0,False,20281,0.0,0.9921875,False,1058.349775388026,0.101805217974847,0,False,2356,0.0,1.0,False,130.67278093857814,0.09691674395584264,0,False,1,17.0,1,16.0,1,35.9,1,14.0,1,0.0,1,6.0,18.46763014793396,6,6.5
