buffers.Input.event_count,buffers.Input.filled_slots,buffers.Input.empty_slots,buffers.Input.flush_event_received,buffers.Input.rate,buffers.Input.average_deadtime,buffers.Input.paused_count,buffers.Input.paused,buffers.to_spectrum.event_count,buffers.to_spectrum.filled_slots,buffers.to_spectrum.empty_slots,buffers.to_spectrum.flush_event_received,buffers.to_spectrum.rate,buffers.to_spectrum.average_deadtime,buffers.to_spectrum.paused_count,buffers.to_spectrum.paused,buffers.PulseHeights.event_count,buffers.PulseHeights.filled_slots,buffers.PulseHeights.empty_slots,buffers.PulseHeights.flush_event_received,buffers.PulseHeights.rate,buffers.PulseHeights.average_deadtime,buffers.PulseHeights.paused_count,buffers.PulseHeights.paused,workers.RedPitaya.processes,workers.RedPitaya.cpu_percent,workers.Copy.processes,workers.Copy.cpu_percent,workers.PHA.processes,workers.PHA.cpu_percent,workers.PHA_to_Histogram.processes,workers.PHA_to_Histogram.cpu_percent,workers.Show_Histogram.processes,workers.Show_Histogram.cpu_percent,workers.Oscilloscope.processes,workers.Oscilloscope.cpu_percent,time_active,total_processes_alive,control.cpu_percent
545,0.0,1.0,False,508.8060585852587,0.0903387347348171,0,False,545,0.0,1.0,False,509.6344888919804,0.0903387347348171,0,False,527,0.0,1.0,False,493.5796428154338,0.09099827965141064,0,False,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.521381139755249,6,3.1
1849,0.0,0.9921875,False,1300.2384478268787,0.10524089784418873,0,False,1848,0.0,0.9921875,False,1299.4022735113413,0.10531194387966383,0,False,1796,0.0078125,0.9921875,False,1265.5340638657508,0.10543559723627086,0,False,1,19.9,1,20.9,1,41.9,1,16.0,1,6.0,1,7.0,1.5241038799285889,6,8.1
3091,0.0,0.984375,False,1238.3946254797618,0.10561472803066083,0,False,3089,0.0,0.9921875,False,1237.4025291346863,0.1056150113264996,0,False,3010,0.0,0.9921875,False,1210.4862655917218,0.10665479878760294,0,False,1,17.9,1,18.9,1,39.9,1,17.0,1,7.0,1,6.0,2.5269036293029785,6,8.1
4345,0.0,0.9921875,False,1250.2637886222383,0.10687861085245094,0,False,4344,0.0,1.0,False,1251.263486107945,0.10687217245213318,0,False,4235,0.0,1.0,False,1221.3533858178623,0.10698780880821088,0,False,1,19.9,1,20.9,1,40.9,1,16.0,1,5.0,1,7.0,3.5298473834991455,6,7.7
5528,0.0,0.9921875,False,1178.8582745709236,0.10089864116631392,0,False,5527,0.0,1.0,False,1178.8568741840488,0.10073461736963478,0,False,5389,0.0,1.0,False,1149.95816534198,0.10171917343857127,0,False,1,17.9,1,17.9,1,37.9,1,15.9,1,7.0,1,6.0,4.533247232437134,6,7.7
6760,0.0,0.9921875,False,1228.708448379994,0.09691894299456645,0,False,6759,0.0,1.0,False,1228.7104935331622,0.09704548356091615,0,False,6592,0.0,1.0,False,1199.7845016519857,0.09697553702320778,0,False,1,17.0,1,18.9,1,37.9,1,17.0,1,7.0,1,8.0,5.536006450653076,6,7.1
8010,0.0,0.9921875,False,1246.7137177316567,0.09585523930236177,0,False,8009,0.0,1.0,False,1246.70630631916,0.09588289869412629,0,False,7807,0.0,1.0,False,1211.8002586687194,0.0957955661556179,0,False,1,17.0,1,19.0,1,40.9,1,16.0,1,6.0,1,4.0,6.538559436798096,6,7.9
9262,0.0,0.9921875,False,1247.8117737410719,0.10104841812884265,0,False,9261,0.0,1.0,False,1247.8185934232322,0.10104841812884265,0,False,9024,0.0,1.0,False,1212.9357740002158,0.10074681731830784,0,False,1,16.9,1,18.9,1,40.9,1,16.9,1,2.0,1,3.0,7.542006254196167,6,7.2
10480,0.0078125,0.984375,False,1214.6964620250892,0.09862825487769354,0,False,10478,0.0078125,0.9921875,False,1213.6997514568886,0.09843463138835598,0,False,10210,0.0,1.0,False,1182.7852231160348,0.09854466104912306,0,False,1,17.0,1,20.9,1,42.9,1,15.0,1,8.0,1,7.0,8.54465651512146,6,7.4
23012,0.0,0.9921875,False,1234.02578386091,0.09538254641148601,0,False,23011,0.0,1.0,False,1234.0251968466482,0.09537303263385098,0,False,22416,0.0,0.9921875,False,1206.0908115528869,0.09516988753884159,0,False,1,18.0,1,19.0,1,40.9,1,17.0,1,7.0,1,6.0,18.56736397743225,6,7.0
35479,0.0,0.9921875,False,1254.843970050796,0.10275413609552787,0,False,35478,0.0,0.9921875,False,1254.841582634955,0.10283343232005815,0,False,34532,0.0,1.0,False,1219.9297460557545,0.10341794604247563,0,False,1,18.0,1,18.0,1,43.9,1,17.0,1,7.0,1,7.0,28.594701528549194,6,7.3
48036,0.0,0.9921875,False,1302.3836220742232,0.1165488059454721,0,False,48035,0.0,1.0,False,1302.383931964207,0.1164828360250791,0,False,46740,0.0,1.0,False,1255.4793454246947,0.11714686182312872,0,False,1,20.0,1,19.0,1,44.9,1,18.0,1,8.0,1,7.0,38.61806321144104,6,7.5
60447,0.0,0.9921875,False,1276.5086451127784,0.09796089219369242,0,False,60446,0.0,0.9921875,False,1276.5083413623015,0.09800077892766629,0,False,58808,0.0078125,0.9921875,False,1241.5771167991159,0.0982927114116219,0,False,1,17.0,1,19.0,1,40.9,1,16.0,1,7.0,1,7.0,48.63982367515564,6,7.2
72840,0.0,0.9921875,False,1244.049378581493,0.11638808346030018,0,False,72839,0.0,1.0,False,1244.055592568534,0.11638808346030018,0,False,70873,0.0,1.0,False,1218.118721999893,0.11698027350201712,0,False,1,20.0,1,18.0,1,39.9,1,18.0,1,7.0,1,6.0,58.662033796310425,6,7.4
80668,0.0,0.9921875,False,497.8495552787285,0.09008292637222194,0,False,80667,0.0,1.0,False,497.84094506433314,0.09008292637222194,0,False,78490,0.0,1.0,False,486.90822914438195,0.09034089830951676,0,False,0,0,0,0,0,0,0,0,0,0,0,0,65.68052506446838,0,4.1
