buffers.Input.event_count,buffers.Input.filled_slots,buffers.Input.empty_slots,buffers.Input.flush_event_received,buffers.Input.rate,buffers.Input.average_deadtime,buffers.Input.paused_count,buffers.Input.paused,buffers.to_spectrum.event_count,buffers.to_spectrum.filled_slots,buffers.to_spectrum.empty_slots,buffers.to_spectrum.flush_event_received,buffers.to_spectrum.rate,buffers.to_spectrum.average_deadtime,buffers.to_spectrum.paused_count,buffers.to_spectrum.paused,buffers.PulseHeights.event_count,buffers.PulseHeights.filled_slots,buffers.PulseHeights.empty_slots,buffers.PulseHeights.flush_event_received,buffers.PulseHeights.rate,buffers.PulseHeights.average_deadtime,buffers.PulseHeights.paused_count,buffers.PulseHeights.paused,workers.RedPitaya.processes,workers.RedPitaya.cpu_percent,workers.Copy.processes,workers.Copy.cpu_percent,workers.PHA.processes,workers.PHA.cpu_percent,workers.PHA_to_Histogram.processes,workers.PHA_to_Histogram.cpu_percent,workers.Show_Histogram.processes,workers.Show_Histogram.cpu_percent,workers.Oscilloscope.processes,workers.Oscilloscope.cpu_percent,time_active,total_processes_alive,control.cpu_percent
1348,0.0,1.0,False,1330.9683934184186,0.15107035241119923,0,False,1348,0.0,1.0,False,1333.120604519846,0.15107035241119923,0,False,1348,0.0,1.0,False,1335.6507435241067,0.15107035241119923,0,False,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.4223921298980713,6,7.5
4496,0.0,0.9921875,False,3140.115840930738,0.17568180617470935,0,False,4495,0.09375,0.8984375,False,3139.5252677622143,0.17571315666194323,0,False,4481,0.0078125,0.9921875,False,3125.677472390245,0.17593650178729683,0,False,1,40.9,1,50.9,1,115.8,1,39.9,1,7.0,1,6.0,1.424757719039917,6,17.0
7616,0.0,0.984375,False,3112.570149341772,0.19141088686303206,0,False,7614,0.140625,0.84375,False,3111.582151904846,0.19143235485020152,0,False,7594,0.0,1.0,False,3105.597160242057,0.19101031053874368,0,False,1,48.9,1,46.9,1,108.8,1,35.9,1,3.0,1,9.0,2.4269540309906006,6,15.5
10653,0.0078125,0.984375,False,3026.4637052953904,0.18152126483087905,0,False,10651,0.0859375,0.90625,False,3026.4601099904467,0.18154326255888942,0,False,10637,0.0390625,0.9609375,False,3032.4392870269767,0.18172394323008514,0,False,1,43.8,1,46.8,1,119.6,1,35.9,1,8.0,1,7.0,3.4306254386901855,6,17.7
13721,0.0,0.984375,False,3058.7885650717208,0.19348845990283037,0,False,13720,0.0859375,0.9140625,False,3059.7979271286013,0.193401360011726,0,False,13706,0.0,0.9921875,False,3059.802291086669,0.19287386452957447,0,False,1,45.9,1,44.9,1,120.6,1,41.9,1,8.0,1,5.0,4.4335410594940186,6,17.5
16724,0.0078125,0.984375,False,2996.1559157779056,0.2051283885795833,0,False,16722,0.0,0.9921875,False,2995.147507790385,0.20506709214956548,0,False,16716,0.0,1.0,False,3003.12638918491,0.20556863316314292,0,False,1,46.9,1,43.9,1,110.7,1,40.9,1,4.0,1,3.0,5.435754299163818,6,16.0
19824,0.0,0.9921875,False,3091.0179788764603,0.17878327270047256,0,False,19823,0.1875,0.8046875,False,3092.031987873915,0.17889796691778279,0,False,19793,0.0,0.9921875,False,3068.1101478037217,0.17896754690234962,0,False,1,40.9,1,48.9,1,110.7,1,43.9,1,6.0,1,6.0,6.438649892807007,6,15.7
22970,0.0078125,0.9765625,False,3134.6580537263508,0.16658067518103248,0,False,22968,0.0703125,0.921875,False,3133.654214643579,0.1665898447800446,0,False,22952,0.0,1.0,False,3147.5977268548413,0.16654037479565398,0,False,1,37.9,1,48.8,1,126.5,1,39.9,1,7.0,1,6.0,7.442302703857422,6,16.6
26069,0.0,0.9921875,False,3089.5111592404046,0.19835505987906982,0,False,26068,0.03125,0.9609375,False,3090.4853255727003,0.1983109646128457,0,False,26054,0.1875,0.8125,False,3092.470366599964,0.1983412351368656,0,False,1,46.9,1,45.9,1,121.6,1,41.9,1,9.0,1,6.0,8.445488452911377,6,17.4
56921,0.0,0.984375,False,3055.699624454431,0.1944250176276564,0,False,56920,0.78125,0.2109375,False,3055.7134382108875,0.1944250176276564,0,False,56804,0.0078125,0.984375,False,2969.8900039567607,0.1957790640660427,0,False,1,43.9,1,42.9,1,109.8,1,39.9,1,3.0,1,8.0,18.467432975769043,6,15.3
87790,0.0,0.9921875,False,3079.7139912892753,0.18906064509599388,0,False,87789,0.0078125,0.984375,False,3080.7119543454287,0.18911915344938185,0,False,87769,0.0,1.0,False,3082.7078804577354,0.18899031710606384,0,False,1,42.9,1,45.9,1,103.8,1,42.9,1,8.0,1,6.0,28.49137854576111,6,15.5
118860,0.0,0.9921875,False,3066.884224973279,0.1760589204279613,0,False,118859,0.0078125,0.9921875,False,3066.8761977776558,0.17604401886539764,0,False,118834,0.0,0.9921875,False,3065.8745430301205,0.17598757408664886,0,False,1,39.9,1,45.9,1,99.8,1,40.9,1,7.0,1,7.0,38.51295065879822,6,15.1
149780,0.0,0.9921875,False,3044.965619442375,0.17901675560220787,0,False,149779,0.03125,0.9609375,False,3044.972860118311,0.17901675560220787,0,False,149734,0.0078125,0.9921875,False,3039.0045339983294,0.17883670873510302,0,False,1,40.9,1,48.9,1,106.7,1,37.9,1,1.0,1,6.0,48.53600335121155,6,14.7
180756,0.0,0.9921875,False,3112.888522666885,0.17933341179806028,0,False,180755,0.0,1.0,False,3112.9211040757477,0.17932829289106383,0,False,180708,0.0,1.0,False,3111.927814500851,0.17917928209701592,0,False,1,42.9,1,46.9,1,112.7,1,39.9,1,8.0,1,10.0,58.55745530128479,6,16.0
339201,0.0,0.9921875,False,661.8402081567222,0.18556377937796437,0,False,339200,0.2578125,0.734375,False,661.8355039074124,0.18556377937796437,0,False,339063,0.0078125,0.9921875,False,627.0542102406308,0.18591986984184153,0,False,0,0,0,0,0,0,0,0,0,0,0,0,110.68468976020813,0,4.5
