buffers.Input.event_count,buffers.Input.filled_slots,buffers.Input.empty_slots,buffers.Input.flush_event_received,buffers.Input.rate,buffers.Input.average_deadtime,buffers.Input.paused_count,buffers.Input.paused,buffers.to_spectrum.event_count,buffers.to_spectrum.filled_slots,buffers.to_spectrum.empty_slots,buffers.to_spectrum.flush_event_received,buffers.to_spectrum.rate,buffers.to_spectrum.average_deadtime,buffers.to_spectrum.paused_count,buffers.to_spectrum.paused,buffers.PulseHeights.event_count,buffers.PulseHeights.filled_slots,buffers.PulseHeights.empty_slots,buffers.PulseHeights.flush_event_received,buffers.PulseHeights.rate,buffers.PulseHeights.average_deadtime,buffers.PulseHeights.paused_count,buffers.PulseHeights.paused,workers.RedPitaya.processes,workers.RedPitaya.cpu_percent,workers.Copy.processes,workers.Copy.cpu_percent,workers.PHA.processes,workers.PHA.cpu_percent,workers.PHA_to_Histogram.processes,workers.PHA_to_Histogram.cpu_percent,workers.Show_Histogram.processes,workers.Show_Histogram.cpu_percent,workers.Oscilloscope.processes,workers.Oscilloscope.cpu_percent,time_active,total_processes_alive,control.cpu_percent
90,0.0,1.0,False,88.59221667260431,0.05283630815595371,0,False,90,0.0,1.0,False,88.72744367087715,0.05283630815595371,0,False,88,0.0,1.0,False,86.93251131468969,0.052951015096602515,0,False,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.4220547676086426,6,7.0
338,0.0,0.984375,False,247.08120024675165,0.06651421322602194,0,False,336,0.0078125,0.984375,False,245.12395285290123,0.06612229314418472,0,False,326,0.0,1.0,False,237.15976664249717,0.06766473571885985,0,False,1,8.0,1,10.0,1,15.9,1,9.0,1,6.0,1,6.0,1.4252958297729492,6,4.9
601,0.0,0.9921875,False,261.91289672396954,0.07257637571924065,0,False,600,0.0,1.0,False,262.9094499088492,0.07310612056517196,0,False,582,0.0,1.0,False,254.94340486365678,0.07425827739000801,0,False,1,10.0,1,10.0,1,16.9,1,6.0,1,8.0,1,8.0,2.4294583797454834,6,5.5
847,0.0,0.9921875,False,245.01434729530484,0.061839025644708785,0,False,846,0.0,1.0,False,245.01376547752452,0.061876946401359344,0,False,821,0.0,1.0,False,238.04205516597116,0.06060577694224137,0,False,1,9.0,1,10.0,1,16.9,1,9.0,1,7.0,1,2.0,3.433422565460205,6,5.0
1077,0.0,0.9921875,False,229.05180300341883,0.08023202836235002,0,False,1076,0.0,1.0,False,229.05327140971212,0.08017510557750031,0,False,1044,0.0,1.0,False,222.0819794275012,0.08209872219797769,0,False,1,9.0,1,9.0,1,16.9,1,8.0,1,4.0,1,6.0,4.437548875808716,6,4.3
1347,0.0,0.9921875,False,269.0060836604866,0.06306907694379602,0,False,1346,0.0,1.0,False,269.00614756045417,0.06311980643796318,0,False,1308,0.0,1.0,False,263.0282331702219,0.06316606138892053,0,False,1,10.0,1,11.0,1,18.9,1,9.0,1,3.0,1,2.0,5.44122576713562,6,3.9
1627,0.0,0.9921875,False,278.8822247789481,0.07053408109321835,0,False,1626,0.0,1.0,False,278.8800393621882,0.07053408109321835,0,False,1584,0.0,1.0,False,274.8949290754459,0.07104875747681913,0,False,1,10.0,1,12.0,1,18.9,1,9.0,1,7.0,1,5.0,6.445379734039307,6,4.6
1864,0.0,0.9921875,False,235.98859714928733,0.059105259992865485,0,False,1863,0.0,1.0,False,235.98977365826744,0.059105259992865485,0,False,1812,0.0,0.9921875,False,227.028729552486,0.05927403279654685,0,False,1,9.0,1,10.0,1,17.9,1,8.0,1,7.0,1,7.0,7.449563980102539,6,4.3
2091,0.0,0.9921875,False,226.29257672642782,0.059705948818581385,0,False,2090,0.0,1.0,False,226.29214645350694,0.0597101664167889,0,False,2033,0.0,1.0,False,220.31101332621574,0.0607388284478349,0,False,1,9.0,1,9.0,1,16.9,1,8.0,1,8.0,1,7.0,8.45271921157837,6,4.1
4615,0.0,0.9921875,False,242.936347226983,0.06585475137369737,0,False,4614,0.0,1.0,False,242.93646256313698,0.06581573543112669,0,False,4476,0.0,1.0,False,238.9544081087067,0.06591598426537146,0,False,1,9.0,1,11.0,1,16.9,1,8.0,1,4.0,1,6.0,18.49227023124695,6,3.9
