buffers.Input.event_count,buffers.Input.filled_slots,buffers.Input.empty_slots,buffers.Input.flush_event_received,buffers.Input.rate,buffers.Input.average_deadtime,buffers.Input.paused_count,buffers.Input.paused,buffers.to_spectrum.event_count,buffers.to_spectrum.filled_slots,buffers.to_spectrum.empty_slots,buffers.to_spectrum.flush_event_received,buffers.to_spectrum.rate,buffers.to_spectrum.average_deadtime,buffers.to_spectrum.paused_count,buffers.to_spectrum.paused,buffers.PulseHeights.event_count,buffers.PulseHeights.filled_slots,buffers.PulseHeights.empty_slots,buffers.PulseHeights.flush_event_received,buffers.PulseHeights.rate,buffers.PulseHeights.average_deadtime,buffers.PulseHeights.paused_count,buffers.PulseHeights.paused,workers.RedPitaya.processes,workers.RedPitaya.cpu_percent,workers.Copy.processes,workers.Copy.cpu_percent,workers.PHA.processes,workers.PHA.cpu_percent,workers.PHA_to_Histogram.processes,workers.PHA_to_Histogram.cpu_percent,workers.Show_Histogram.processes,workers.Show_Histogram.cpu_percent,workers.Oscilloscope.processes,workers.Oscilloscope.cpu_percent,time_active,total_processes_alive,control.cpu_percent
346,0.0,1.0,False,336.2522768168078,0.06493495062399592,0,False,346,0.0,1.0,False,336.8060382501106,0.06493495062399592,0,False,344,0.0,1.0,False,335.58505846523695,0.06513793333873544,0,False,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.42185354232788086,6,4.3
1189,0.0,0.9921875,False,840.6092273062382,0.08171731332292381,0,False,1188,0.0,1.0,False,839.7296509167205,0.08176081849879618,0,False,1185,0.0,1.0,False,838.7586729035609,0.08179545493108084,0,False,1,15.0,1,18.0,1,31.9,1,14.0,1,6.0,1,7.0,1.4243724346160889,6,7.7
2022,0.0,0.9921875,False,830.4281165043375,0.10292315112271576,0,False,2021,0.0,1.0,False,830.4296955329397,0.10294173494574409,0,False,2016,0.0,1.0,False,828.4360636372387,0.10312704243897092,0,False,1,16.0,1,15.0,1,29.9,1,15.0,1,3.0,1,8.0,2.427298069000244,6,7.2
2843,0.0,0.9921875,False,817.8891654357442,0.08571374147800959,0,False,2842,0.0,1.0,False,817.8879998707919,0.08572440662984501,0,False,2836,0.0,1.0,False,816.8917903703402,0.08580678997198755,0,False,1,14.9,1,14.9,1,30.9,1,12.0,1,6.0,1,5.0,3.4311938285827637,6,7.1
3666,0.0078125,0.984375,False,820.5348568603284,0.08408683539296793,0,False,3664,0.0,1.0,False,819.5403846830392,0.0841286057702834,0,False,3657,0.0078125,0.9921875,False,818.543571487828,0.08418311141075836,0,False,1,14.0,1,15.0,1,31.9,1,16.0,1,6.0,1,6.0,4.434155225753784,6,6.8
4490,0.0,0.9921875,False,821.6664327271828,0.10626112160394555,0,False,4489,0.0078125,0.9921875,False,822.6634051452885,0.10619427415733547,0,False,4480,0.0,1.0,False,820.6696549438522,0.10638013007024469,0,False,1,17.9,1,16.0,1,34.9,1,14.0,1,4.0,1,1.0,5.437077283859253,6,6.0
5302,0.0,0.9921875,False,809.4077286674524,0.0932661317779124,0,False,5301,0.0,1.0,False,809.40657449849,0.09326419777424556,0,False,5291,0.0,1.0,False,808.4093841238002,0.09333203785305229,0,False,1,16.9,1,16.9,1,34.9,1,14.0,1,6.0,1,7.0,6.4403088092803955,6,6.3
6099,0.0,0.9765625,False,794.6558026679966,0.07450560357755788,0,False,6097,0.0,0.9921875,False,793.6544046402169,0.07369897914417646,0,False,6084,0.0,0.9921875,False,790.6615532474435,0.07351785405536829,0,False,1,12.0,1,16.0,1,30.9,1,14.0,1,10.0,1,5.0,7.443237066268921,6,5.8
6904,0.0,0.9921875,False,802.2045370308773,0.07639711344048798,0,False,6903,0.0,0.9921875,False,803.2016369056458,0.07718784900075988,0,False,6888,0.0,1.0,False,801.2078192962044,0.07718047652884857,0,False,1,13.0,1,14.0,1,29.9,1,14.0,1,8.0,1,5.0,8.446695804595947,6,5.7
15248,0.0,0.9921875,False,846.7786290037802,0.09796100120898552,0,False,15247,0.0,1.0,False,846.7850725576806,0.09795046207039851,0,False,15201,0.0,1.0,False,842.7993159037167,0.09794630956359722,0,False,1,16.0,1,23.9,1,30.9,1,17.0,1,2.0,1,7.0,18.47201657295227,6,6.5
