counter,timestamp,deadtime,height_1,height_2,time_difference
1.0,1770640757.435567,0.01422119140625,1138.0,1373.0,-87.0
3.0,1770640757.4397724,0.18139963167587478,626.0,1532.0,-85.0
6.0,1770640757.4530747,0.028668941979522185,1137.0,204.0,-85.0
8.0,1770640757.4632516,0.01418940609951846,1135.0,1478.0,-86.0
9.0,1770640757.4668915,0.02137534318211531,455.0,1457.0,-85.0
18.0,1770640757.5130234,0.03526280771789754,485.0,552.0,-86.0
26.0,1770640757.548354,0.2051056338028169,976.0,1489.0,-85.0
39.0,1770640757.5841167,0.03637211471205409,556.0,1507.0,-86.0
43.0,1770640757.5927968,0.026661612332575184,671.0,1441.0,-86.0
44.0,1770640757.59545,0.020400794367214297,1130.0,1363.0,-86.0
46.0,1770640757.6060283,0.00705451754774344,365.0,1443.0,-85.0
48.0,1770640757.6095417,0.01722970431118802,463.0,1227.0,-86.0
61.0,1770640757.641341,0.015578568212516884,582.0,1518.0,-86.0
66.0,1770640757.6571279,0.04972875226039783,562.0,1433.0,-86.0
74.0,1770640757.6796567,0.013067400275103164,715.0,1392.0,-85.0
76.0,1770640757.69561,0.007940730231916613,490.0,1483.0,-85.0
78.0,1770640757.705562,0.008785567977098294,481.0,1821.0,-311.0
79.0,1770640757.7116742,0.013268430556645993,457.0,899.0,-86.0
80.0,1770640757.718182,0.010212734579508167,756.0,1757.0,-86.0
82.0,1770640757.7197912,0.10660486674391657,1837.0,1668.0,-95.0
83.0,1770640757.723956,0.014048016581265473,279.0,878.0,-86.0
84.0,1770640757.7257993,0.04217880709017984,721.0,381.0,-85.0
86.0,1770640757.728949,0.037596690052167654,667.0,1470.0,-85.0
87.0,1770640757.7302327,0.03768607499528924,659.0,1437.0,207.0
103.0,1770640757.7930725,0.009171485448857711,600.0,870.0,-87.0
104.0,1770640757.7993426,0.013772523814989097,583.0,1438.0,-87.0
115.0,1770640757.8282707,0.025632642385405087,1132.0,1450.0,-87.0
117.0,1770640757.8387582,0.008763969815646193,441.0,385.0,-86.0
120.0,1770640757.8494804,0.010416391972785528,195.0,1421.0,-85.0
132.0,1770640757.8921156,0.01210162045671184,989.0,328.0,-86.0
134.0,1770640757.8963826,0.1180148495506057,691.0,1500.0,-86.0
138.0,1770640757.9056797,0.04779233381853469,1132.0,1461.0,-87.0
142.0,1770640757.9187846,0.5172413793103449,438.0,761.0,-95.0
144.0,1770640757.9236379,0.07112526539278131,368.0,492.0,-88.0
146.0,1770640757.9379532,0.010301091871622366,390.0,1470.0,-87.0
147.0,1770640757.939609,0.06738904556924447,469.0,1456.0,-87.0
149.0,1770640757.9489985,0.022920157846370075,732.0,1268.0,-86.0
151.0,1770640757.9544077,0.033146027455722316,444.0,1495.0,-85.0
153.0,1770640757.9615605,0.06581027667984189,710.0,1589.0,-86.0
156.0,1770640757.9997706,0.012654012654012654,543.0,817.0,-84.0
157.0,1770640758.0059874,0.017618258221211304,661.0,445.0,-86.0
159.0,1770640758.0114222,0.18518518518518517,249.0,599.0,-87.0
160.0,1770640758.0129862,0.05420388050508161,496.0,1522.0,-86.0
163.0,1770640758.0229409,0.06840530141085935,751.0,1424.0,-86.0
165.0,1770640758.0273998,0.022004372663798576,888.0,1450.0,-86.0
169.0,1770640758.0342839,0.17491749174917492,726.0,1464.0,-86.0
175.0,1770640758.0502424,0.006139021641994017,1138.0,1441.0,-86.0
177.0,1770640758.0546825,0.04654711942006868,861.0,637.0,356.0
180.0,1770640758.0647156,0.05773373545885394,2826.0,859.0,-86.0
181.0,1770640758.0707083,0.005858674425092663,1132.0,833.0,-86.0
182.0,1770640758.0709283,0.14863258026159334,589.0,1451.0,-86.0
183.0,1770640758.079681,0.003928522711771927,319.0,1463.0,46.0
184.0,1770640758.0801666,0.0700152207001522,1090.0,583.0,-86.0
186.0,1770640758.0949051,0.014427956885301367,509.0,3004.0,-85.0
187.0,1770640758.095297,0.21383075523202913,686.0,1466.0,-85.0
188.0,1770640758.097458,0.028345931525122277,290.0,703.0,-85.0
190.0,1770640758.1065779,0.01683732487896834,703.0,576.0,-87.0
192.0,1770640758.109513,0.02880354505169867,1744.0,1524.0,-85.0
193.0,1770640758.1098948,0.27603513174404015,308.0,732.0,-86.0
196.0,1770640758.1168096,0.023989033584647018,737.0,1422.0,-86.0
197.0,1770640758.1177912,0.07765248590466428,398.0,1311.0,-430.0
202.0,1770640758.135223,0.03527256069628951,775.0,1435.0,-87.0
203.0,1770640758.1356525,0.21045392022008252,1137.0,1515.0,-87.0
211.0,1770640758.1759489,0.024769613340484664,843.0,732.0,-86.0
213.0,1770640758.1848714,0.018970464135021098,259.0,978.0,-87.0
221.0,1770640758.2129493,0.08418214499700419,1132.0,1527.0,-86.0
237.0,1770640758.263441,0.0322180916976456,483.0,1447.0,-86.0
