buffers.Input.event_count,buffers.Input.filled_slots,buffers.Input.empty_slots,buffers.Input.flush_event_received,buffers.Input.rate,buffers.Input.average_deadtime,buffers.Input.paused_count,buffers.Input.paused,buffers.to_coincidence.event_count,buffers.to_coincidence.filled_slots,buffers.to_coincidence.empty_slots,buffers.to_coincidence.flush_event_received,buffers.to_coincidence.rate,buffers.to_coincidence.average_deadtime,buffers.to_coincidence.paused_count,buffers.to_coincidence.paused,buffers.Coincidences.event_count,buffers.Coincidences.filled_slots,buffers.Coincidences.empty_slots,buffers.Coincidences.flush_event_received,buffers.Coincidences.rate,buffers.Coincidences.average_deadtime,buffers.Coincidences.paused_count,buffers.Coincidences.paused,workers.RedPitaya.processes,workers.RedPitaya.cpu_percent,workers.Copy.processes,workers.Copy.cpu_percent,workers.Coincidence.processes,workers.Coincidence.cpu_percent,workers.Save_Coincidence.processes,workers.Save_Coincidence.cpu_percent,workers.Visualize_Coincidence.processes,workers.Visualize_Coincidence.cpu_percent,workers.Oscilloscope.processes,workers.Oscilloscope.cpu_percent,time_active,total_processes_alive,control.cpu_percent
90,0.0,0.9921875,False,86.50294795877143,0.038938343609491124,0,False,90,0.0078125,0.9921875,False,86.67771892425101,0.038938343609491124,0,False,24,0.0,1.0,False,23.157948787318713,0.040193264112115656,0,False,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.4205772876739502,6,1.3
362,0.0,0.9921875,False,270.8983361910793,0.06857028765259691,0,False,361,0.0,1.0,False,269.9352681455137,0.06801719094521931,0,False,102,0.0,1.0,False,77.69548319619602,0.07693615410137793,0,False,1,10.0,1,10.0,1,18.9,1,9.0,1,0.0,1,7.0,1.4242463111877441,6,5.3
646,0.0,0.9921875,False,282.80098108134996,0.05934073373884446,0,False,645,0.0,1.0,False,282.8031967301464,0.06003511811468238,0,False,186,0.0,0.9921875,False,83.64641311062542,0.07082315490207229,0,False,1,9.0,1,11.0,1,18.9,1,11.0,1,1.0,1,8.0,2.4284026622772217,6,5.7
887,0.0,0.9921875,False,240.15008833141528,0.07684261804199566,0,False,886,0.0,1.0,False,240.15020244011492,0.07680261255285226,0,False,254,0.0,1.0,False,67.76007821047217,0.07602978061978168,0,False,1,9.0,1,10.0,1,16.9,1,9.0,1,0.0,1,6.0,3.431955575942993,6,4.7
1137,0.0,0.9921875,False,249.2312658105395,0.07307127351405399,0,False,1136,0.0,0.9921875,False,249.23061418712263,0.07315335245640472,0,False,328,0.0,1.0,False,73.77241961065714,0.08739327628464313,0,False,1,9.0,1,8.0,1,16.0,1,9.0,1,0.0,1,6.0,4.435033559799194,6,5.2
1425,0.0,0.984375,False,287.1682037098715,0.09485273264570858,0,False,1424,0.0078125,0.9921875,False,287.167247954162,0.09486641971986352,0,False,399,0.0,0.9921875,False,70.79453518942336,0.07405090341571777,0,False,1,11.0,1,12.0,1,17.0,1,10.0,1,11.0,1,1.0,5.437985420227051,6,4.7
1679,0.0,0.9921875,False,253.09666607590762,0.0803665981967346,0,False,1678,0.0,1.0,False,253.09023250686977,0.0803665981967346,0,False,468,0.0,1.0,False,68.75184579052383,0.12165418120954276,0,False,1,11.0,1,11.0,1,15.9,1,9.0,1,1.0,1,6.0,6.4423441886901855,6,4.1
1948,0.0,0.9921875,False,267.8678072721195,0.0770847852168419,0,False,1947,0.0,1.0,False,267.872640644869,0.07708358207170628,0,False,549,0.0,1.0,False,80.66141584221884,0.064914017880159,0,False,1,9.0,1,12.0,1,16.9,1,10.0,1,0.0,1,7.0,7.446083307266235,6,4.1
2182,0.0,0.9921875,False,233.0115227640769,0.07101746715713411,0,False,2181,0.0,1.0,False,233.00864618037016,0.07097837434702212,0,False,621,0.0,1.0,False,71.69522337133624,0.0678071772574253,0,False,1,11.0,1,9.0,1,15.9,1,9.0,1,0.0,1,6.0,8.4502272605896,6,3.9
4788,0.0,0.9921875,False,260.0458237582114,0.07993551123047425,0,False,4787,0.0078125,0.9921875,False,260.0451442559514,0.07993185648196631,0,False,1411,0.0,1.0,False,76.7180987981137,0.07642541140093956,0,False,1,11.0,1,9.0,1,17.9,1,10.0,1,4.0,1,7.0,18.487484216690063,6,4.7
