x,y_fit,uncertainty
0.000000000000000000e+00,3.743268229166668561e+02,2.871754021073144036e-01
1.000000000000000000e+00,3.728675493313765514e+02,2.863336599406977045e-01
2.000000000000000000e+00,3.714082757460863036e+02,2.854927515351697864e-01
3.000000000000000000e+00,3.699490021607959989e+02,2.846526842774563248e-01
4.000000000000000000e+00,3.684897285755057510e+02,2.838134656417014567e-01
5.000000000000000000e+00,3.670304549902154463e+02,2.829751031756946866e-01
6.000000000000000000e+00,3.655711814049251416e+02,2.821376045116752995e-01
7.000000000000000000e+00,3.641119078196348937e+02,2.813009773648639800e-01
8.000000000000000000e+00,3.626526342343445890e+02,2.804652295320196886e-01
9.000000000000000000e+00,3.611933606490543411e+02,2.796303689022253680e-01
1.000000000000000000e+01,3.597340870637640364e+02,2.787964034432483529e-01
1.100000000000000000e+01,3.582748134784737886e+02,2.779633412123549974e-01
1.200000000000000000e+01,3.568155398931834839e+02,2.771311903549136813e-01
1.300000000000000000e+01,3.553562663078931791e+02,2.762999591030262381e-01
1.400000000000000000e+01,3.538969927226029313e+02,2.754696557863210438e-01
1.500000000000000000e+01,3.524377191373126266e+02,2.746402888184545921e-01
1.600000000000000000e+01,3.509784455520223787e+02,2.738118667079347812e-01
1.700000000000000000e+01,3.495191719667320740e+02,2.729843980567996931e-01
1.800000000000000000e+01,3.480598983814417693e+02,2.721578915617409167e-01
1.900000000000000000e+01,3.466006247961515214e+02,2.713323560128277911e-01
2.000000000000000000e+01,3.451413512108612167e+02,2.705078003043091539e-01
2.100000000000000000e+01,3.436820776255709688e+02,2.696842334212917192e-01
2.200000000000000000e+01,3.422228040402806641e+02,2.688616644505743558e-01
2.300000000000000000e+01,3.407635304549903594e+02,2.680401025794208469e-01
2.400000000000000000e+01,3.393042568697001116e+02,2.672195570943635134e-01
2.500000000000000000e+01,3.378449832844098069e+02,2.664000373920130671e-01
2.600000000000000000e+01,3.363857096991195590e+02,2.655815529658900331e-01
2.700000000000000000e+01,3.349264361138292543e+02,2.647641134172669664e-01
2.800000000000000000e+01,3.334671625285390064e+02,2.639477284540230895e-01
2.900000000000000000e+01,3.320078889432487017e+02,2.631324078919123344e-01
3.000000000000000000e+01,3.305486153579583970e+02,2.623181616534663863e-01
3.100000000000000000e+01,3.290893417726681491e+02,2.615049997788113090e-01
3.200000000000000000e+01,3.276300681873778444e+02,2.606929324126907588e-01
3.300000000000000000e+01,3.261707946020875397e+02,2.598819698153166380e-01
3.400000000000000000e+01,3.247115210167972918e+02,2.590721223613228763e-01
3.500000000000000000e+01,3.232522474315069871e+02,2.582634005387530740e-01
3.600000000000000000e+01,3.217929738462167393e+02,2.574558149598810131e-01
3.700000000000000000e+01,3.203337002609264346e+02,2.566493763483992385e-01
3.800000000000000000e+01,3.188744266756361867e+02,2.558440955502740422e-01
3.900000000000000000e+01,3.174151530903458820e+02,2.550399835327843978e-01
4.000000000000000000e+01,3.159558795050555773e+02,2.542370513835953139e-01
4.100000000000000000e+01,3.144966059197653294e+02,2.534353103215790659e-01
4.200000000000000000e+01,3.130373323344750247e+02,2.526347716841744195e-01
4.300000000000000000e+01,3.115780587491847768e+02,2.518354469382427796e-01
4.400000000000000000e+01,3.101187851638944721e+02,2.510373476791926128e-01
4.500000000000000000e+01,3.086595115786042243e+02,2.502404856301384539e-01
4.600000000000000000e+01,3.072002379933139196e+02,2.494448726527201954e-01
4.700000000000000000e+01,3.057409644080236149e+02,2.486505207346362267e-01
4.800000000000000000e+01,3.042816908227333670e+02,2.478574420004964196e-01
4.900000000000000000e+01,3.028224172374430623e+02,2.470656487110315658e-01
5.000000000000000000e+01,3.013631436521527576e+02,2.462751532623385642e-01
5.100000000000000000e+01,2.999038700668625097e+02,2.454859681966908291e-01
5.200000000000000000e+01,2.984445964815722050e+02,2.446981061902498145e-01
5.300000000000000000e+01,2.969853228962819571e+02,2.439115800639087006e-01
5.400000000000000000e+01,2.955260493109916524e+02,2.431264027802916006e-01
5.500000000000000000e+01,2.940667757257014046e+02,2.423425874522622814e-01
5.600000000000000000e+01,2.926075021404110998e+02,2.415601473399438537e-01
5.700000000000000000e+01,2.911482285551207951e+02,2.407790958477979693e-01
5.800000000000000000e+01,2.896889549698305473e+02,2.399994465331545257e-01
5.900000000000000000e+01,2.882296813845402426e+02,2.392212131055848068e-01
6.000000000000000000e+01,2.867704077992499379e+02,2.384444094263109548e-01
6.100000000000000000e+01,2.853111342139596900e+02,2.376690495189777708e-01
6.200000000000000000e+01,2.838518606286694421e+02,2.368951475577245613e-01
6.300000000000000000e+01,2.823925870433791374e+02,2.361227178779873315e-01
